Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",0603,2,15pF,
"C10, C11",0805,2,1uF,
C12,0805,1,100pF,
"C13, C14, C16, C17, C18, C19, C2, C21, C22, C3, C4, C5, C7, C8, C9",0603,15,100nF,
"C15, C20",0603,2,22pF,
"D1, D2",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,2,SK6812MINI,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J2, J4",AMPHENOL_SFV20R-2STE1HLF,2,AFC07-S20FCC-00,
"J3, J5",10056847-101LF-EDGE,2,10056847-101LF,
Q1,SOT-23,1,SS8550,
"R1, R3",0603,2,1kΩ,
R2,0805,1,470Ω,
S1,XDCR_PEC12R-4225F-S0024,1,PEC12R-4225F-S0024,
S2,SW_B3F-4055,1,B3F-4055,
"U1, U6",SOIC-8_5.3x5.3mm_P1.27mm,2,W25Q16JVSS,
U2,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,DRV8220DSG,
"U3, U5",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,2,RP2040,
U4,TSOT-23-6,1,IQS227B00400008TSR,
U7,B103,1,B103,
U8,SOT-23-6,1,SN74LVC1T45DBV,
U9,Display Connector,1,AFC07-S08ECC-00,
"Y1, Y2",Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,2,ABM8-272-T3,
