Designator,Mid X,Mid Y,Rotation,Layer
C1,93.210888,-38.0,180.0,top
C10,80.0,-62.163172,0.0,top
C11,76.5,-63.913172,90.0,top
C12,74.3,-63.963172,90.0,top
C13,80.9,-70.413172,90.0,top
C14,72.6,-72.363172,180.0,top
C15,86.85,-73.925672,0.0,top
C16,72.6,-73.975672,180.0,top
C17,72.6,-75.525672,180.0,top
C18,72.6,-77.075672,180.0,top
C19,72.6,-78.625672,180.0,top
C2,98.210888,-38.1,180.0,top
C20,86.65,-81.525672,0.0,top
C21,80.9,-83.763172,270.0,top
C22,77.2,-84.013172,270.0,top
C3,103.910888,-38.1,0.0,top
C4,106.810888,-43.6,0.0,top
C5,106.810888,-45.2,0.0,top
C6,92.310888,-46.3,90.0,top
C7,94.010888,-46.3,270.0,top
C8,106.810888,-46.8,0.0,top
C9,99.210888,-50.1,270.0,top
D1,100.110888,-59.2,0.0,bottom
D2,100.110888,-95.2,180.0,bottom
H1,94.1,-104.4,180.0,top
H10,94.110888,-96.2,0.0,bottom
H11,85.0,-97.163172,180.0,bottom
H12,75.0,-97.163172,180.0,bottom
H2,106.1,-104.4,180.0,top
H3,94.1,-120.4,180.0,top
H4,106.1,-120.4,180.0,top
H5,86.0,-30.163172,180.0,bottom
H6,74.0,-30.163172,180.0,bottom
H7,106.110888,-58.2,0.0,bottom
H8,94.110888,-58.2,0.0,bottom
H9,106.110888,-96.2,0.0,bottom
J2,100.1,-111.4,180.0,top
J4,100.110888,-32.2,180.0,bottom
Q1,103.110888,-47.2,270.0,bottom
R1,93.260888,-43.9,180.0,top
R2,76.5,-67.463172,270.0,top
R3,86.85,-75.575672,0.0,top
S1,100.110888,-70.45,0.0,bottom
S2,100.110888,-86.2,0.0,bottom
U1,100.010888,-33.55,90.0,top
U2,80.25,-38.113172,270.0,top
U3,100.260888,-43.4375,0.0,top
U4,80.0,-65.163172,0.0,top
U5,79.85,-77.863172,180.0,top
U6,80.15,-88.813172,270.0,top
U8,93.010888,-51.2,90.0,bottom
U9,100.110888,-54.5,180.0,bottom
Y1,93.010888,-41.0,270.0,top
Y2,86.9,-78.525672,90.0,top
