Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C2, C24, C26, C33, C34",0603,8,15pF,
"C10, C12, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C25, C27, C28, C29, C3, C30, C31, C32, C35, C36, C37, C38, C4, C5, C6, C7, C8, C9",0603,30,100nF,
"D1, D2, D3, D4",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,4,SK6812MINI,
"J1, J2, J3, J4",JUSHUO AFC07-S20FCC-00,4,AFC07-S20FCC-00,
"J10, J9",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
"J5, J6, J7, J8",10056847-101LF-EDGE,4,10056847-101LF,
"Q1, Q2",SOT-23,2,SS8550,
"R1, R2, R3, R4",0603,4,1kΩ,
"S1, S2",XDCR_PEC12R-4225F-S0024,2,PEC12R-4225F-S0024,
"S3, S4",SW_B3F-4055,2,B3F-4055,
"U1, U2",SOT-23-6,2,SN74LVC1T45DBV,
"U10, U9",WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,2,DRV8220DSG,
"U11, U12, U15, U16",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,4,RP2040,
"U13, U14",SOIC8_4P9X3P9MC_MCH-L,2,CAP1293-1-SN-TR,
"U17, U18, U7, U8",SOIC-8_5.3x5.3mm_P1.27mm,4,W25Q16JVSS,
"U3, U4",B103,2,B103,
"U5, U6",Display Connector,2,AFC07-S08ECC-00,
"Y1, Y2, Y3, Y4",Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,4,ABM8-272-T3,
