Designator,Mid X,Mid Y,Rotation,Layer
C1,124.7,-80.81239,180.0,bottom
C10,67.1,-88.0,0.0,bottom
C11,125.6,-89.11239,90.0,bottom
C12,123.9,-89.11239,270.0,bottom
C13,81.6,-89.1,90.0,bottom
C14,79.9,-89.1,270.0,bottom
C15,111.1,-89.61239,0.0,bottom
C16,67.1,-89.6,0.0,bottom
C17,118.7,-92.91239,270.0,bottom
C18,74.7,-92.9,270.0,bottom
C19,50.9,-115.25,90.0,bottom
C2,80.7,-80.8,180.0,bottom
C20,94.9,-115.26239,90.0,bottom
C21,103.2,-117.21239,180.0,bottom
C22,59.2,-117.2,180.0,bottom
C23,103.2,-118.82489,180.0,bottom
C24,88.95,-118.77489,0.0,bottom
C25,59.2,-118.8125,180.0,bottom
C26,44.95,-118.7625,0.0,bottom
C27,103.2,-120.37489,180.0,bottom
C28,59.2,-120.3625,180.0,bottom
C29,103.2,-121.92489,180.0,bottom
C3,119.7,-80.91239,180.0,bottom
C30,59.2,-121.9125,180.0,bottom
C31,103.2,-123.47489,180.0,bottom
C32,59.2,-123.4625,180.0,bottom
C33,89.15,-126.37489,0.0,bottom
C34,45.15,-126.3625,0.0,bottom
C35,94.9,-128.61239,270.0,bottom
C36,50.9,-128.6,270.0,bottom
C37,54.6,-128.85,270.0,bottom
C38,98.6,-128.86239,270.0,bottom
C4,114.0,-80.91239,0.0,bottom
C5,75.7,-80.9,180.0,bottom
C6,70.0,-80.9,0.0,bottom
C7,111.1,-86.41239,0.0,bottom
C8,67.1,-86.4,0.0,bottom
C9,111.1,-88.01239,0.0,bottom
D1,73.8,-102.0,0.0,top
D2,117.8,-102.01239,0.0,top
D3,73.8,-138.0,180.0,top
D4,117.8,-138.01239,180.0,top
H1,45.8,-75.0,180.0,top
H10,79.8,-139.0,0.0,top
H11,111.8,-139.01239,0.0,top
H12,123.8,-139.01239,0.0,top
H13,46.8,-142.0,180.0,top
H14,56.8,-142.0,180.0,top
H15,90.8,-142.01239,180.0,top
H16,100.8,-142.01239,180.0,top
H17,67.802746,-149.01239,180.0,top
H18,79.802746,-149.01239,180.0,top
H19,111.802746,-149.02478,180.0,top
H2,57.8,-75.0,180.0,top
H20,123.802746,-149.02478,180.0,top
H21,67.802746,-165.01239,180.0,top
H22,79.802746,-165.01239,180.0,top
H23,111.802746,-165.02478,180.0,top
H24,123.802746,-165.02478,180.0,top
H3,89.8,-75.01239,180.0,top
H4,101.8,-75.01239,180.0,top
H5,67.8,-101.0,0.0,top
H6,79.8,-101.0,0.0,top
H7,111.8,-101.01239,0.0,top
H8,123.8,-101.01239,0.0,top
H9,67.8,-139.0,0.0,top
J1,73.8,-77.4,180.0,top
J2,117.8,-77.41239,180.0,top
J3,73.802746,-158.31239,180.0,top
J4,117.802746,-158.32478,180.0,top
Q1,70.8,-90.0,270.0,top
Q2,114.8,-90.01239,270.0,top
R1,124.65,-86.71239,180.0,bottom
R2,80.65,-86.7,180.0,bottom
R3,88.95,-120.42489,0.0,bottom
R4,44.95,-120.4125,0.0,bottom
S1,73.8,-113.25,0.0,top
S2,117.8,-113.26239,0.0,top
S3,73.8,-129.0,0.0,top
S4,117.8,-129.01239,0.0,top
U1,80.9,-94.0,90.0,top
U10,95.55,-82.96239,270.0,bottom
U11,117.65,-86.24989,0.0,bottom
U12,73.65,-86.2375,0.0,bottom
U13,96.6,-108.61239,90.0,bottom
U14,52.6,-108.6,90.0,bottom
U15,95.95,-122.71239,180.0,bottom
U16,51.95,-122.7,180.0,bottom
U17,51.65,-133.65,270.0,bottom
U18,95.65,-133.66239,270.0,bottom
U2,124.9,-94.01239,90.0,top
U5,73.8,-97.3,180.0,top
U6,117.8,-97.31239,180.0,top
U7,73.9,-76.35,90.0,bottom
U8,117.9,-76.36239,90.0,bottom
U9,51.55,-82.95,270.0,bottom
Y1,124.9,-83.81239,270.0,bottom
Y2,80.9,-83.8,270.0,bottom
Y3,88.9,-123.37489,90.0,bottom
Y4,44.9,-123.3625,90.0,bottom
