Designator,Mid X,Mid Y,Rotation,Layer
H1,53.0,-89.0,0.0,top
H2,237.0,-89.0,0.0,top
J1,194.52,-89.13,90.0,bottom
J10,47.0,-73.0,180.0,top
J11,75.0,-73.0,180.0,top
J12,103.0,-73.0,180.0,top
J13,131.0,-73.0,180.0,top
J14,159.0,-73.0,180.0,top
J15,187.0,-73.0,180.0,top
J16,215.0,-73.0,180.0,top
J17,243.0,-73.0,180.0,top
J2,47.0,-105.0,0.0,top
J3,75.0,-105.0,0.0,top
J4,103.0,-105.0,0.0,top
J5,131.0,-105.0,0.0,top
J6,159.0,-105.0,0.0,top
J7,187.0,-105.0,0.0,top
J8,215.0,-105.0,0.0,top
J9,243.0,-105.0,0.0,top
U1,146.0,-89.0,270.0,top
U2,127.0,-89.0,270.0,top
U20,58.0,-102.0,0.0,top
U21,64.0,-102.0,180.0,top
U22,92.0,-102.0,180.0,top
U23,120.0,-102.0,180.0,top
U24,148.0,-102.0,180.0,top
U25,176.0,-102.0,180.0,top
U26,204.0,-102.0,180.0,top
U27,232.0,-102.0,180.0,top
U28,58.0,-76.0,0.0,top
U29,86.0,-76.0,0.0,top
U30,114.0,-76.0,0.0,top
U31,142.0,-76.0,0.0,top
U32,170.0,-76.0,0.0,top
U33,198.0,-76.0,0.0,top
U34,226.0,-76.0,0.0,top
U35,232.0,-76.0,180.0,top
U5,92.0,-89.0,0.0,top
