Designator,Mid X,Mid Y,Rotation,Layer
C1,198.0,-128.9,135.0,top
C10,185.3,-135.2,135.0,top
C11,205.2,-141.6,45.0,top
C12,187.7,-145.5,225.0,top
C13,191.5,-130.4,45.0,top
C14,206.8,-147.3,225.0,top
C15,207.3,-143.0,135.0,top
C16,141.4,-136.9,0.0,top
C17,141.6,-138.8,0.0,top
C18,155.9,-125.6,180.0,top
C19,146.6,-125.6,0.0,top
C2,188.6,-132.2,135.0,top
C20,146.4,-146.2,90.0,top
C21,154.2,-146.3,270.0,top
C3,192.7,-131.7,45.0,top
C4,202.1,-132.1,45.0,top
C5,201.8,-146.0,315.0,top
C6,198.6,-147.3,315.0,top
C7,203.9,-136.1,45.0,top
C8,185.2,-143.2,225.0,top
C9,190.0,-147.9,225.0,top
D11,134.6,-149.1,90.0,top
D12,137.7,-149.1,90.0,top
D13,140.8,-149.1,90.0,top
D14,143.9,-149.2,90.0,top
H1,229.0,-91.0,0.0,top
H2,229.0,-170.0,0.0,top
H3,109.0,-91.0,0.0,top
H4,109.0,-170.0,0.0,top
J1,124.0,-91.0,180.0,top
J19,150.902,-97.6095,0.0,top
J2,113.27,-130.48,180.0,top
J3,224.915,-142.905,270.0,top
J6,186.92,-161.5725,270.0,top
L1,189.9,-128.8,225.0,top
R1,196.5,-130.3,135.0,top
R10,147.4,-129.4,180.0,top
R11,149.7,-125.6,0.0,top
R12,143.5,-125.6,180.0,top
R13,158.3,-124.8,90.0,top
R14,152.8,-125.6,180.0,top
R15,149.7,-124.0,0.0,top
R16,143.5,-124.0,180.0,top
R17,155.9,-124.0,0.0,top
R18,152.8,-124.0,180.0,top
R19,146.6,-124.0,180.0,top
R2,203.0,-143.8,45.0,top
R20,186.8,-127.7,315.0,top
R21,185.7,-128.8,315.0,top
R3,134.6,-152.5,90.0,top
R4,218.9,-157.0,0.0,top
R5,218.9,-154.8,0.0,top
R6,137.7,-152.5,90.0,top
R7,140.8,-152.5,90.0,top
R8,143.9,-152.5,90.0,top
R9,149.0,-148.7,0.0,top
T2,151.1,-116.0,90.0,top
U1,194.944544,-138.944187,135.0,top
U2,179.1,-131.5,315.0,top
U28,119.95,-129.0,0.0,top
U4,150.0,-136.1,180.0,top
U5,205.0,-96.25,0.0,top
Y1,205.2,-145.2,45.0,top
Y2,150.3,-145.7,0.0,top
