Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,15pF,
"C10, C4, C5, C6, C7, C8, C9",0603,7,100nF,
"D1, D2",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,2,SK6812MINI,
J2,AMPHENOL_SFV20R-2STE1HLF,1,AFC07-S20FCC-00,
Q1,SOT-23,1,SS8550,
R1,0603,1,1kΩ,
S1,XDCR_PEC12R-4225F-S0024,1,PEC12R-4225F-S0024,
S2,SW_B3F-4055,1,B3F-4055,
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSS,
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U3,SOT-23-6,1,SN74LVC1T45DBV,
U4,Display Connector,1,AFC07-S08ECC-00,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,ABM8-272-T3,
