Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C16, C27",0805,5,4.7uF,
"C10, C11",0603,2,6.8nF,
"C12, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C28, C5",0603,13,.1uF,
"C13, C2, C41",0603,3,10nF,
"C3, C4",0603,2,15pF,
C6,1206,1,10uF,
C7,CP_Radial_D10.0mm_P5.00mm,1,1mF,
"C8, C9",0603,2,27pF,
"D1, D2, D3, D4, D5, D6, D7, D8",D_DO-15_P12.70mm_Horizontal,8,D_Schottky,
"D10, D11, D12, D9",0603,4,LED,
"J1, J13, J14, J15, J16, J17, J18, J3, J4, J5, J6, J7",AMPHENOL_F3311A7H121016E200,12,F3311A7H121016E200,
J10,GCT_USB4056-03-A_REVA2,1,USB4056-03-A_REVA2,
J11,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J19,NEUTRIK_NE8FAH,1,NE8FAH,
J2,BarrelJack_Horizontal,1,Barrel_Jack_MountingPin,
"J21, J22",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08_Pin,
J8,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J9,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
L1,L_Pulse_PA4340,1,3.3uH,
"R1, R18, R19, R20, R21, R22",0603,6,8.45kΩ,
"R10, R11, R12, R9",0603,4,3.3Ω,
"R13, R14, R15, R16",0603,4,51Ω,
R17,0603,1,10Ω,
R2,0603,1,12.4kΩ,
R23,0603,1,33Ω,
"R24, R25",0603,2,27Ω,
"R26, R3",0603,2,1kΩ,
"R4, R5, R6, R7",0603,4,68Ω,
R8,0603,1,1MΩ,
"S1, S2, S3",SW_DS01-254-L-01BE,3,DS01-254-L-01BE,
T2,XFMR_PT61018PEL,1,PT61018PEL,
"TP1, TP22, TP30, TP38, TP46, TP54",TestPoint_Pad_D1.0mm,6,IN1,
TP10,TestPoint_Pad_D1.0mm,1,Radio EN,
TP11,TestPoint_Pad_D1.0mm,1,Radio_2,
TP12,TestPoint_Pad_D1.0mm,1,Radio_1,
TP13,TestPoint_Pad_D1.0mm,1,SPDLED,
TP14,TestPoint_Pad_D1.0mm,1,LINKLED,
TP15,TestPoint_Pad_D1.0mm,1,DUPLED,
TP16,TestPoint_Pad_D1.0mm,1,ACTLED,
TP17,TestPoint_Pad_D1.0mm,1,POE Voltage,
TP18,TestPoint_Pad_D1.0mm,1,POE GND,
"TP19, TP27, TP35, TP43, TP51, TP7",TestPoint_Pad_D1.0mm,6,M+,
"TP2, TP23, TP31, TP39, TP47, TP55",TestPoint_Pad_D1.0mm,6,IN2,
"TP20, TP28, TP36, TP44, TP52, TP8",TestPoint_Pad_D1.0mm,6,M-,
"TP21, TP29, TP37, TP45, TP53, TP6",TestPoint_Pad_D1.0mm,6,FAULT_N,
"TP24, TP3, TP32, TP40, TP48, TP56",TestPoint_Pad_D1.0mm,6,Sleep_N,
"TP25, TP33, TP4, TP41, TP49, TP57",TestPoint_Pad_D1.0mm,6,IPROPI,
"TP26, TP34, TP42, TP5, TP50, TP58",TestPoint_Pad_D1.0mm,6,RC_OUT,
"TP59, TP60, TP61, TP62, TP63, TP64",TestPoint_Pad_D1.0mm,6,Touch,
"TP65, TP66, TP67, TP68, TP69, TP70, TP71, TP72, TP73, TP74, TP75, TP76",TestPoint_Pad_D1.0mm,12,Wiper,
TP9,TestPoint_Pad_D1.0mm,1,Radio_0,
U1,MODULE_AG59612-LPB,1,AG59612-LPB,
"U11, U9",SO-4_4.4x3.6mm_P2.54mm,2,LTV-356T,
"U13, U15, U17, U19, U2, U6",RTE0016C-IPC_A,6,DRV8234RTER,
U20,SIO16L300MIL_MAC-L,1,MX25L12833FMI-10G,
U21,APS6404L-3SQR-SN_APY-L,1,APS6404L-3SQR-SN,
U3,LQFP-48_7x7mm_P0.5mm,1,W5500,
U5,rpi_rmc20452t,1,SC1169,
U8,QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm,1,RP2354B,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,ABM8-272-T3,
Y2,Crystal_SMD_Abracon_ABM3C-4Pin_5.0x3.2mm,1,ABM3C-25.000MHZ-D4Y-T,
