Designator,Mid X,Mid Y,Rotation,Layer
C1,221.3,-158.5,90.0,top
C10,219.5,-134.9,270.0,top
C11,223.6,-133.9,0.0,top
C12,221.9,-138.9,180.0,top
C13,213.9,-134.1,180.0,top
C14,250.0,-143.8,270.0,top
C15,250.0,-147.35,90.0,top
C16,269.6,-140.2,180.0,top
C17,259.5,-146.8,270.0,top
C18,249.6,-139.5,180.0,top
C19,262.2,-126.1,90.0,top
C2,224.5,-157.6,180.0,top
C20,269.4,-138.2,0.0,top
C21,262.7,-146.8,270.0,top
C22,261.1,-146.8,270.0,top
C23,249.625,-141.1,180.0,top
C24,251.1,-131.1,180.0,top
C25,270.2,-133.5,0.0,top
C26,251.0,-136.2,180.0,top
C27,258.1,-126.4,90.0,top
C28,273.775,-136.5,0.0,top
C3,264.2,-123.025,90.0,top
C4,258.2,-123.0,270.0,top
C41,213.9,-135.7,180.0,top
C5,141.575,-109.4,180.0,top
C6,142.375,-107.0,180.0,top
C7,142.2,-116.5,0.0,top
C8,231.3375,-152.35,180.0,top
C9,231.7375,-146.15,0.0,top
D1,189.05,-133.24,180.0,top
D10,232.3,-160.5,180.0,top
D11,232.3,-157.9,180.0,top
D12,232.3,-155.3,180.0,top
D2,189.05,-138.24,180.0,top
D3,173.05,-133.24,180.0,top
D4,173.05,-138.24,180.0,top
D5,189.05,-146.24,180.0,top
D6,173.05,-146.24,180.0,top
D7,189.05,-151.24,180.0,top
D8,173.05,-151.24,180.0,top
D9,232.3,-163.0,180.0,top
J1,123.0,-187.0,0.0,top
J10,122.657725,-94.494245,180.0,top
J11,191.13,-162.5,90.0,top
J13,136.0,-187.0,0.0,top
J14,166.0,-187.0,0.0,top
J15,196.0,-187.0,0.0,top
J16,226.0,-187.0,0.0,top
J17,256.0,-187.0,0.0,top
J18,286.0,-187.0,0.0,top
J19,214.292,-100.4395,0.0,top
J2,139.25,-97.325,270.0,top
J21,127.05,-128.3,90.0,top
J22,126.95,-162.4,90.0,top
J3,153.0,-187.0,0.0,top
J4,183.25,-187.0,0.0,top
J5,213.0,-187.0,0.0,top
J6,243.0,-187.0,0.0,top
J7,273.0,-187.0,0.0,top
J8,236.6,-108.5,0.0,top
J9,243.8,-109.93,0.0,top
L1,254.1,-146.05,90.0,top
R1,133.5,-177.175,90.0,top
R10,217.9,-138.1,270.0,top
R11,219.5,-138.1,270.0,top
R12,224.3,-138.1,270.0,top
R13,213.0,-138.1,90.0,top
R14,216.3,-138.1,90.0,top
R15,221.9,-137.3,0.0,top
R16,223.6,-135.6,0.0,top
R17,214.7,-138.1,90.0,top
R18,163.5,-177.175,90.0,top
R19,193.5,-177.175,90.0,top
R2,214.5,-152.0,90.0,top
R20,223.5,-177.175,90.0,top
R21,253.5,-177.175,90.0,top
R22,283.5,-177.175,90.0,top
R23,252.7,-141.1,180.0,top
R24,247.0,-142.7,0.0,top
R25,247.0,-144.31,0.0,top
R26,243.8,-105.035,90.0,top
R3,260.0,-126.15,270.0,top
R4,235.5,-163.0,0.0,top
R5,235.5,-160.5,0.0,top
R6,235.5,-157.9,0.0,top
R7,235.5,-155.3,0.0,top
R8,235.9375,-149.45,90.0,top
R9,211.4,-138.1,270.0,top
S1,234.6,-124.09,180.0,top
S2,239.6,-124.09,180.0,top
S3,244.6,-124.09,180.0,top
T2,217.27,-126.7525,90.0,top
U1,169.7,-110.0,180.0,top
U11,207.6,-150.4,0.0,top
U13,196.0,-180.0,0.0,top
U15,226.0,-180.0,0.0,top
U17,256.0,-180.0,0.0,top
U19,286.0,-180.0,0.0,top
U2,136.0,-180.0,0.0,top
U20,283.1,-133.0,180.0,top
U21,282.9,-144.1,180.0,top
U3,221.7375,-150.25,270.0,top
U5,267.0,-100.0,0.0,top
U6,166.0,-180.0,0.0,top
U8,260.0,-136.0,270.0,top
U9,207.6,-145.085,0.0,top
Y1,261.2,-122.75,180.0,top
Y2,231.7375,-149.35,0.0,top
