Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,1uF,
"C10, C11, C4, C5, C6, C7, C8, C9",0603,8,100nF,
"C14, C15",0603,2,22pF,
C2,0805,1,100pF,
J1,10056847-101LF-EDGE,1,10056847-101LF,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
R1,0805,1,470Ω,
R2,0603,1,1kΩ,
U1,B103,1,B103,
U2,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,DRV8220DSG,
U3,TSOT-23-6,1,IQS227B00400008TSR,
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSS,
U5,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,ABM8-272-T3,
