Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C16, C18, C20, C21, C22, C24, C26, C27, C4, C6, C7, C8, C9",1206,19,10uF,
"C15, C17, C19, C2, C25, C3, C5",0603,7,.1uF,
C23,CP_Radial_D10.0mm_P5.00mm,1,1mF,
"D1, D2, D3, D4, D5, D6, D7, D8",D_DO-15_P12.70mm_Horizontal,8,D_Schottky,
J2,BarrelJack_Horizontal,1,Barrel_Jack_MountingPin,
J3,CONN_SFH11-PBPC-D25-RA-BK_50P_SUL,1,Conn_02x25_Odd_Even,
"L1, L2, L3",IND_PA4342_PUL-L,3,4.7uH,
R1,0603,1,52.3kΩ,
"R10, R13",2512,2,10mΩ,
R11,2512,1,20mΩ,
R12,2010,1,50mΩ,
"R14, R3, R7, R8",0603,4,10kΩ,
R2,0603,1,30.9kΩ,
R4,0603,1,102kΩ,
"R5, R6",0603,2,5.1kΩ,
R9,0603,1,100kΩ,
"U1, U2, U4",SOT-583-8,3,TPS563300,
"U10, U12, U3, U8",VSSOP-10_3x3mm_P0.5mm,4,INA226,
"U11, U9",SO-4_4.4x3.6mm_P2.54mm,2,LTV-356T,
U13,TO-252-4,1,BTS50080-1TEA,
U5,MODULE_AG59612-LPB,1,AG59612-LPB,
U6,XIAO-RP2040-SMD,1,XIAO-RP2040-SMD,
U7,MSOP-8_3x3mm_P0.65mm,1,MCP4562T-503E/MF,
