Designator,Mid X,Mid Y,Rotation,Layer
C1,112.1,-59.2,180.0,top
C10,103.0,-77.6,270.0,top
C11,105.7,-77.6,270.0,top
C12,118.7,-71.2,0.0,top
C13,118.7,-73.8,0.0,top
C14,118.7,-76.3,0.0,top
C15,114.5,-67.3,180.0,top
C2,113.6,-61.3,180.0,top
C3,112.2,-56.6,180.0,top
C4,112.2,-54.0,180.0,top
C5,127.6,-60.8,0.0,top
C6,127.6,-58.2,0.0,top
C7,127.6,-55.6,0.0,top
C8,127.6,-53.0,0.0,top
C9,118.9,-58.5,0.0,top
J1,119.0,-47.0,270.0,bottom
J2,118.9,-81.1,270.0,bottom
L1,120.7,-54.7,180.0,top
L2,107.1,-69.0,270.0,top
R1,121.7,-63.0,270.0,top
R2,121.7,-59.8,270.0,top
R3,117.9,-65.1,90.0,top
R4,117.9,-68.3,90.0,top
R5,105.725,-52.9,180.0,top
R6,105.7,-51.2,180.0,top
U1,118.4,-61.2,180.0,top
U2,115.2,-65.0,270.0,top
