Designator,Mid X,Mid Y,Rotation,Layer
C1,131.9,-74.8,180.0,bottom
C10,131.1,-83.1,270.0,bottom
C2,132.8,-83.1,90.0,bottom
C4,126.9,-74.9,180.0,bottom
C5,125.9,-86.9,270.0,bottom
C6,121.2,-74.9,0.0,bottom
C7,118.3,-80.4,0.0,bottom
C8,118.3,-83.6,0.0,bottom
C9,118.3,-82.0,0.0,bottom
D1,125.0,-96.0,0.0,top
D2,125.0,-132.0,180.0,top
H1,119.0,-95.0,0.0,top
H2,131.0,-95.0,0.0,top
H3,119.0,-133.0,0.0,top
H4,131.0,-133.0,0.0,top
J2,125.0,-69.0,180.0,top
Q1,122.0,-84.0,270.0,top
R1,131.85,-80.7,180.0,bottom
S1,125.0,-107.25,0.0,top
S2,125.0,-123.0,0.0,top
U1,125.1,-70.35,90.0,bottom
U2,124.85,-80.2375,0.0,bottom
U3,132.1,-88.0,90.0,top
U4,125.0,-91.3,180.0,top
Y1,132.1,-77.8,270.0,bottom
